property_id,households,buildings,building_age,min_area,max_area,floor_area_ratio,sale_price_min,sale_price_max,jeonse_price_min,jeonse_price_max,price_per_pyeong,sale_transactions,jeonse_transactions,total_transactions,jeonse_ratio,gap,sale_price_range_ratio,price_deviation_ratio,transactions_per_household,has_sale_price,has_jeonse_price,has_transactions,abnormal_jeonse_low,abnormal_jeonse_high,abnormal_price_dev,low_gap_flag,no_transaction_flag,excessive_price_range,fraud_score,is_suspicious,risk_level
28,678,9,41,104.98,198.33,0,329000,450000,84000,135000,10360,95,127,275,25.5,245000,0.3677811550151976,0.6823312493644434,0.4056047197640118,1,1,1,1,0,1,1,0,0,18,1,2
373,199,2,27,162.08,201.13,620,320000,350000,160000,210000,6527,6,14,32,50.0,160000,0.09375,0.059901164536845776,0.16080402010050251,1,1,1,0,0,0,1,0,0,3,0,0
1317,416,6,41,102.73,190.81,179,310000,450000,85000,140000,9976,85,30,147,27.4,225000,0.45161290322580644,0.6199745698513212,0.35336538461538464,1,1,1,1,0,1,1,0,0,18,1,2
152528,14,1,6,32.35,63.79,198,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
104598,8,1,14,55.19,55.19,358,105000,105000,0,0,6289,2,0,2,0.0,0,0.0,0.021253014213608562,0.25,1,0,1,0,0,0,0,0,0,0,0,0
101883,19,1,16,298.43,337.65,248,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
107513,18,1,22,178.74,178.74,202,380000,395000,0,0,7028,7,0,7,0.0,0,0.039473684210526314,0.14125714483912244,0.3888888888888889,1,0,1,0,0,0,0,0,0,0,0,0
145017,28,1,3,71.89,158.9,199,117000,340000,0,0,5380,36,0,36,0.0,0,1.9059829059829059,-0.12635693807136045,1.2857142857142858,1,0,1,0,0,0,0,0,1,5,0,0
334,132,1,26,98.88,100.61,386,179000,200000,95000,95000,5984,28,1,29,53.1,84000,0.11731843575418995,-0.028275077587178624,0.2196969696969697,1,1,1,0,0,0,1,0,0,3,0,0
8819,480,1,21,160.73,314.94,791,389000,780000,220000,510000,8001,94,23,157,56.6,169000,1.0051413881748072,0.29925987704294515,0.32708333333333334,1,1,1,0,0,0,1,0,0,3,0,0
9005,54,1,35,85.48,85.48,204,230000,260000,0,0,8895,7,0,7,0.0,0,0.13043478260869565,0.44443402153443284,0.12962962962962962,1,0,1,0,0,0,0,0,0,0,0,0
154,1034,12,42,101.66,186.36,179,450000,650000,119500,200000,14633,56,133,253,26.6,330500,0.4444444444444444,1.3762116961341604,0.24468085106382978,1,1,1,1,0,1,1,0,0,18,1,2
1298,940,6,42,75.33,116.04,151,294000,430000,0,0,12902,173,0,176,0.0,0,0.46258503401360546,1.095119476766414,0.18723404255319148,1,0,1,0,0,1,0,0,0,7,0,0
11167,18,1,35,220.11,220.11,189,395000,450000,150000,150000,5932,12,5,18,38.0,245000,0.13924050632911392,-0.03671921127124726,1.0,1,1,1,0,0,0,1,0,0,3,0,0
16228,16,1,30,162.94,162.94,291,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
112228,1957,23,6,67.77,169.78,249,240000,550000,89000,280000,11707,343,329,1295,37.1,151000,1.2916666666666667,0.9010667892190675,0.6617271333673991,1,1,1,0,0,1,1,0,0,10,1,1
180280,1608,17,10,88.0,183.59,258,468000,700000,164000,300000,17581,197,143,564,35.0,304000,0.49572649572649574,1.8549291211463592,0.35074626865671643,1,1,1,0,0,1,1,0,0,10,1,1
16244,19,1,29,246.25,246.25,445,350000,350000,0,0,4699,6,0,6,0.0,0,0.0,-0.23694261189541316,0.3157894736842105,1,0,1,0,0,0,0,0,0,0,0,0
19488,37,1,19,107.38,107.38,359,0,0,100000,100000,0,0,2,2,0.0,0,0.0,0.0,0.05405405405405406,0,1,1,0,0,0,0,0,0,0,0,0
3304,67,1,23,73.77,103.37,237,230000,250000,72000,150000,10307,10,10,20,31.3,158000,0.08695652173913043,0.6737247284941427,0.29850746268656714,1,1,1,0,0,1,1,0,0,10,1,1
10297,57,3,22,94.38,94.58,289,170000,185000,0,0,5955,13,0,13,0.0,0,0.08823529411764706,-0.03298430598790921,0.22807017543859648,1,0,1,0,0,0,0,0,0,0,0,0
19313,18,1,21,72.18,82.58,434,85500,89000,0,0,3916,5,0,7,0.0,0,0.04093567251461988,-0.3640917787151389,0.3888888888888889,1,0,1,0,0,0,0,0,0,0,0,0
177400,282,8,0,80.11,165.07,0,400000,600000,128500,350000,16506,13,369,732,32.1,271500,0.5,1.6803628959468633,2.595744680851064,1,1,1,0,0,1,1,0,0,10,1,1
166,364,4,42,102.47,141.71,176,440000,450000,79500,120000,14195,12,16,34,18.1,360500,0.022727272727272728,1.3050861085645054,0.09340659340659341,1,1,1,1,0,1,1,0,0,18,1,2
24735,22,2,21,123.25,123.25,249,0,0,0,0,0,0,0,5,0.0,0,0.0,0.0,0.22727272727272727,0,0,1,0,0,0,0,0,0,0,0,0
135597,489,9,2,72.62,148.99,237,378000,540000,130000,300000,17207,26,97,265,34.4,248000,0.42857142857142855,1.7941963134955579,0.5419222903885481,1,1,1,0,0,1,1,0,0,10,1,1
179277,13,1,3,32.91,65.13,198,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
13826,33,2,22,169.67,169.67,269,250000,265000,0,0,4871,4,0,4,0.0,0,0.06,-0.20901201586349383,0.12121212121212122,1,0,1,0,0,0,0,0,0,0,0,0
14104,19,1,26,110.57,110.57,223,0,0,90000,90000,0,0,3,8,0.0,0,0.0,0.0,0.42105263157894735,0,1,1,0,0,0,0,0,0,0,0,0
116437,44,4,9,51.49,70.89,185,80000,95000,55000,59000,5136,8,5,14,68.8,25000,0.1875,-0.16597941151199022,0.3181818181818182,1,1,1,0,0,0,1,0,0,3,0,0
152278,42,1,3,108.67,108.67,272,240000,240000,0,0,7301,4,0,4,0.0,0,0.0,0.18558884668048276,0.09523809523809523,1,0,1,0,0,0,0,0,0,0,0,0
973,120,1,35,101.03,101.03,243,254500,300000,66000,75000,8327,6,5,11,25.9,188500,0.1787819253438114,0.3521980997546062,0.09166666666666666,1,1,1,1,0,0,1,0,0,11,1,1
101378,18,1,21,75.44,136.32,282,200000,200000,58000,60000,8764,1,4,5,29.0,142000,0.0,0.42316130013802916,0.2777777777777778,1,1,1,1,0,0,1,0,0,11,1,1
209,476,6,41,102.01,133.98,179,360000,450000,70000,130000,11666,39,71,120,19.4,290000,0.25,0.8944089145835519,0.25210084033613445,1,1,1,1,0,1,1,0,0,18,1,2
113852,49,1,9,55.02,77.25,249,53000,80000,45000,45000,3184,7,1,8,84.9,8000,0.5094339622641509,-0.4829591990370282,0.16326530612244897,1,1,1,0,0,0,1,0,0,3,0,0
135,960,14,25,85.68,139.27,261,279500,420000,87500,190000,10784,160,188,507,31.3,192000,0.5026833631484794,0.7511834163268493,0.528125,1,1,1,0,0,1,1,0,0,10,1,1
236,4424,28,46,101.52,115.54,204,329000,440000,50000,105000,10713,137,303,675,15.2,279000,0.3373860182370821,0.7396539261043709,0.1525768535262206,1,1,1,1,0,1,1,0,0,18,1,2
971,630,8,26,88.68,143.66,341,257000,380000,69500,154000,9580,19,29,69,27.0,187500,0.4785992217898833,0.5556692441034139,0.10952380952380952,1,1,1,1,0,1,1,0,0,18,1,2
972,354,5,11,142.54,142.62,347,350000,400000,180000,185000,8117,18,18,60,51.4,170000,0.14285714285714285,0.3180967906458675,0.1694915254237288,1,1,1,0,0,0,1,0,0,3,0,0
123312,10,1,22,77.28,105.0,242,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
105210,15,1,14,225.33,225.33,249,0,0,419000,420000,0,0,5,5,0.0,0,0.0,0.0,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,0
11063,14,1,26,125.06,196.98,254,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
17690,10,1,21,121.79,131.56,299,165000,165000,0,0,4479,3,0,5,0.0,0,0.0,-0.27266779286647275,0.5,1,0,1,0,0,0,0,0,0,0,0,0
3045,83,1,26,78.99,112.12,296,210000,210000,75000,120000,8789,1,6,11,35.7,135000,0.0,0.4272209797938314,0.13253012048192772,1,1,1,0,0,0,1,0,0,3,0,0
22493,144,2,17,146.32,146.32,299,400000,410000,184000,185000,9037,12,33,63,46.0,216000,0.025,0.4674930019793895,0.4375,1,1,1,0,0,0,1,0,0,3,0,0
13081,80,1,21,67.95,91.28,548,84500,116000,65000,68000,4111,14,13,36,76.9,19500,0.3727810650887574,-0.33242627739988156,0.45,1,1,1,0,0,0,1,0,0,3,0,0
149040,42,2,1,54.65,64.91,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
23612,18,1,19,200.9,200.9,329,280000,280000,0,0,4607,2,0,2,0.0,0,0.0,-0.25188223302876533,0.1111111111111111,1,0,1,0,0,0,0,0,0,0,0,0
11620,42,1,21,134.72,139.43,296,320000,380000,170000,170000,7852,2,2,4,53.1,150000,0.1875,0.27506418629436385,0.09523809523809523,1,1,1,0,0,0,1,0,0,3,0,0
22676,19,1,20,58.32,130.41,260,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
23995,14,1,21,111.2,111.2,237,181000,185000,88000,88000,5381,9,1,10,48.6,93000,0.022099447513812154,-0.12619455088512838,0.7142857142857143,1,1,1,0,0,0,1,0,0,3,0,0
24081,150,3,17,149.58,149.58,273,400000,400000,0,0,8840,3,0,16,0.0,0,0.0,0.4355027262916679,0.10666666666666667,1,0,1,0,0,0,0,0,0,0,0,0
11621,33,1,21,134.54,139.23,298,290000,380000,150000,160000,7126,10,2,12,51.7,140000,0.3103448275862069,0.15717108908986716,0.36363636363636365,1,1,1,0,0,0,1,0,0,3,0,0
22149,30,1,21,109.18,109.26,341,180000,180000,95000,95000,5450,4,1,5,52.8,85000,0.0,-0.11498983503511422,0.16666666666666666,1,1,1,0,0,0,1,0,0,3,0,0
9782,19,1,26,188.75,188.75,180,380000,400000,170000,180000,6655,5,3,8,44.7,210000,0.05263157894736842,0.08068672437455318,0.42105263157894735,1,1,1,0,0,0,1,0,0,3,0,0
127277,20,2,6,68.67,68.67,198,98000,98000,0,0,4718,1,0,1,0.0,0,0.0,-0.23385725535700347,0.05,1,0,1,0,0,0,0,0,0,0,0,0
102325,67,2,20,104.13,162.99,249,240000,290000,135000,140000,7619,10,2,18,56.2,105000,0.20833333333333334,0.23722797190228712,0.26865671641791045,1,1,1,0,0,0,1,0,0,3,0,0
185,630,5,42,102.36,173.48,169,370000,540000,74500,135000,11949,23,19,59,20.1,295500,0.4594594594594595,0.9403644882872331,0.09365079365079365,1,1,1,1,0,1,1,0,0,18,1,2
101753,19,1,15,71.9,190.33,265,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
27002,14,2,20,68.71,68.71,187,110000,110000,0,0,5292,5,0,5,0.0,0,0.0,-0.1406470104597843,0.35714285714285715,1,0,1,0,0,0,0,0,0,0,0,0
102910,11,1,23,91.84,91.84,296,110000,110000,0,0,3959,1,0,1,0.0,0,0.0,-0.35710912970715913,0.09090909090909091,1,0,1,0,0,0,0,0,0,0,0,0
128876,25,2,7,68.23,69.77,195,130000,140000,80000,80000,6299,3,1,4,61.5,50000,0.07692307692307693,0.022876886075929453,0.16,1,1,1,0,0,0,1,0,0,3,0,0
15132,19,1,23,94.53,94.53,269,180000,210000,0,0,6295,4,0,4,0.0,0,0.16666666666666666,0.022227337331001098,0.21052631578947367,1,0,1,0,0,0,0,0,0,0,0,0
102955,14,1,21,73.97,92.4,266,160000,180000,0,0,7151,5,0,5,0.0,0,0.125,0.16123076874566938,0.35714285714285715,1,0,1,0,0,0,0,0,0,0,0,0
162642,28,2,9,35.36,35.36,199,0,0,45000,45000,0,0,1,1,0.0,0,0.0,0.0,0.03571428571428571,0,1,1,0,0,0,0,0,0,0,0,0
8994,35,2,25,169.79,181.1,222,370000,400000,149500,180000,7204,17,10,27,40.4,220500,0.08108108108108109,0.1698372896159701,0.7714285714285715,1,1,1,0,0,0,1,0,0,3,0,0
111580,239,4,8,110.89,145.94,247,430000,600000,195000,260000,12819,37,61,182,45.3,235000,0.3953488372093023,1.0816413403091507,0.7615062761506276,1,1,1,0,0,1,1,0,0,10,1,1
127973,273,6,4,80.25,112.84,207,300000,430000,119000,180000,12358,43,44,192,39.7,181000,0.43333333333333335,1.0067808474561575,0.7032967032967034,1,1,1,0,0,1,1,0,0,10,1,1
107149,12,1,22,163.48,225.69,297,275000,310000,150000,230000,5561,5,19,24,54.5,125000,0.12727272727272726,-0.09696485736335232,2.0,1,1,1,0,0,0,1,0,0,3,0,0
126762,22,2,7,61.83,62.45,199,97000,105000,0,0,5186,2,0,2,0.0,0,0.08247422680412371,-0.15786005220038576,0.09090909090909091,1,0,1,0,0,0,0,0,0,0,0,0
10393,134,1,22,31.9,63.81,634,34000,59500,23000,38500,3523,9,7,23,67.6,11000,0.75,-0.42790994290434997,0.17164179104477612,1,1,1,0,0,0,1,0,0,3,0,0
11010,276,4,21,168.38,208.98,299,369000,430000,185000,210000,7245,19,8,38,50.1,184000,0.16531165311653118,0.1764951642514858,0.13768115942028986,1,1,1,0,0,0,1,0,0,3,0,0
146664,11,1,13,20.32,47.03,197,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
127859,16,1,9,25.97,32.34,199,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
123813,21,1,12,27.67,33.86,229,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
107144,10,1,20,111.35,142.98,199,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
127848,27,1,13,20.13,34.77,198,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
24263,19,1,22,78.96,101.95,297,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
23222,14,1,21,124.2,124.2,289,0,0,110000,110000,0,0,1,1,0.0,0,0.0,0.0,0.07142857142857142,0,1,1,0,0,0,0,0,0,0,0,0
16462,9,1,29,245.45,259.51,187,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
151599,40,2,10,32.58,32.58,0,0,0,32000,32000,0,0,1,1,0.0,0,0.0,0.0,0.025,0,1,1,0,0,0,0,0,0,0,0,0
102702,16,1,22,127.76,127.76,149,185000,187000,0,0,4787,8,0,8,0.0,0,0.010810810810810811,-0.22265253950698932,0.5,1,0,1,0,0,0,0,0,0,0,0,0
103455,12,2,29,262.2,262.2,87,350000,350000,200000,200000,4413,2,3,6,57.1,150000,0.0,-0.2833853471577907,0.5,1,1,1,0,0,0,1,0,0,3,0,0
12766,19,1,22,49.86,121.79,288,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
101877,19,1,21,81.25,206.56,262,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
18566,15,1,24,82.06,82.06,237,83000,83000,0,0,3344,1,0,1,0.0,0,0.0,-0.4569772492398939,0.06666666666666667,1,0,1,0,0,0,0,0,0,0,0,0
25941,19,1,19,168.17,168.17,249,0,0,140000,150000,0,0,9,9,0.0,0,0.0,0.0,0.47368421052631576,0,1,1,0,0,0,0,0,0,0,0,0
102051,24,3,22,155.16,161.26,188,190000,205000,0,0,4048,8,0,12,0.0,0,0.07894736842105263,-0.34265667013250317,0.5,1,0,1,0,0,0,0,0,0,0,0,0
11087,14,1,23,95.31,95.31,299,115000,117000,0,0,3989,2,0,2,0.0,0,0.017391304347826087,-0.35223751412019644,0.14285714285714285,1,0,1,0,0,0,0,0,0,0,0,0
13174,56,1,22,33.29,42.62,545,20000,35000,25357,25357,1986,7,1,8,126.8,-5357,0.75,-0.6774990481430709,0.14285714285714285,1,1,1,0,1,1,0,0,0,12,1,1
119065,28,1,8,84.46,93.16,199,135000,165000,90000,90000,5284,3,1,10,66.7,45000,0.2222222222222222,-0.14194610794964102,0.35714285714285715,1,1,1,0,0,0,1,0,0,3,0,0
588,206,1,27,77.83,110.66,350,260000,300000,77500,135000,11043,11,3,37,29.8,182500,0.15384615384615385,0.7932416975609603,0.1796116504854369,1,1,1,1,0,1,1,0,0,18,1,2
109227,408,3,9,88.11,151.98,299,320000,460000,119000,180000,12006,17,55,117,37.2,201000,0.4375,0.9496205579024621,0.2867647058823529,1,1,1,0,0,1,1,0,0,10,1,1
137413,28,1,3,43.5,43.5,382,69000,80000,42000,42000,5244,14,1,28,60.9,27000,0.15942028985507245,-0.14844159539892457,1.0,1,1,1,0,0,0,1,0,0,3,0,0
977,129,1,28,78.01,111.09,325,185000,245000,69500,90000,7840,22,11,33,37.6,115500,0.32432432432432434,0.27311554005957883,0.2558139534883721,1,1,1,0,0,0,1,0,0,3,0,0
13441,59,1,21,103.57,103.57,231,169000,180000,0,0,5394,4,0,5,0.0,0,0.0650887573964497,-0.12408351746411121,0.0847457627118644,1,0,1,0,0,0,0,0,0,0,0,0
9906,210,1,21,41.88,58.56,637,28000,49000,28300,28300,2210,16,1,18,101.1,-300,0.75,-0.6411243184270831,0.08571428571428572,1,1,1,0,1,1,0,0,0,12,1,1
14705,19,1,21,102.03,122.32,224,210000,230000,0,0,6804,7,0,7,0.0,0,0.09523809523809523,0.10488241512313447,0.3684210526315789,1,0,1,0,0,0,0,0,0,0,0,0
121973,99,1,5,69.0,86.35,359,91000,180000,90500,92000,4360,17,7,29,99.5,500,0.978021978021978,-0.29199186802809135,0.29292929292929293,1,1,1,0,1,0,1,0,0,8,0,0
11429,67,2,22,75.71,99.46,299,157000,160000,66500,70000,6855,12,21,43,42.4,90500,0.01910828025477707,0.11316416162097101,0.6417910447761194,1,1,1,0,0,0,1,0,0,3,0,0
